Date,Quad,Balanus glandula,Balanus glandula,Balanus glandula,Balanus glandula,Balanus glandula,Balanus glandula,Balanus glandula,Mytilus spp.,Mytilus spp.,Mytilus spp.,Mytilus spp.,Mytilus spp.,Mytilus spp.,Mytilus spp.
Date,Quad,Julia,Beatriz,Isaac,Stephanie,Mark,Celeste,Rebecca,Julia,Beatriz,Isaac,Mark,Stephanie,Celeste,Rebecca
7/20/2013,E4,0,1,50,0,0,11,599,0,0,0,0,0,0,0
8/19/2013,AD1,1636,2736,1387,1660,3170,10198,3052,0,0,0,0,0,0,0
8/19/2013,AC7,376,436,345,447,638,2979,721,0,0,0,0,0,0,0
8/19/2013,C5,1127,1935,944,1294,228,9749,1918,0,0,0,0,0,0,0
10/7/2013,A6,680,998,673,710,1186,5359,1085,212,393,216,486,329,0,412
11/5/2013,F6,668,1224,475,1395,462,6071,1329,0,25,0,0,17,24,35
12/3/2013,BF9,371,528,411,361,401,2256,440,15,435,0,162,19,1,206
12/3/2013,BC5,759,1207,748,1244,1428,6507,1762,85,120,43,185,64,56,205
1/29/2014,BD1,743,795,661,858,774,3401,1011,61,44,7,30,6,24,25
1/29/2014,G3,163,83,69,118,73,1125,241,346,531,190,360,371,954,462
